code,isco08Code,source,nameTr,nameEn
1111,1111,Isco08,Yasama meclisi üyeleri,Legislators
1112,1112,Isco08,Üst düzey devlet görevlileri,Senior Government Officials
1113,1113,Isco08,Geleneksel topluluk liderleri ve köy muhtarları,Traditional Chiefs and Heads of Villages
1114,1114,Isco08,Sivil toplum ve meslek kuruluşlarının üst düzey yöneticileri,Senior Officials of Special-interest Organizations
1120,1120,Isco08,Genel müdürler ve üst düzey yöneticiler (CEO),Managing Directors and Chief Executives
1211,1211,Isco08,Finans müdürleri,Finance Managers
1212,1212,Isco08,İnsan kaynakları müdürleri,Human Resource Managers
1213,1213,Isco08,Politika ve planlama müdürleri,Policy and Planning Managers
1219,1219,Isco08,İşletme hizmetleri ve idari işler müdürleri (bys),Business Services and Administration Managers Not Elsewhere Classified
1221,1221,Isco08,Satış ve pazarlama müdürleri,Sales and Marketing Managers
1222,1222,Isco08,Reklam ve halkla ilişkiler müdürleri,Advertising and Public Relations Managers
1223,1223,Isco08,Araştırma ve geliştirme müdürleri,Research and Development Managers
1311,1311,Isco08,Tarım ve ormancılık üretim müdürleri,Agricultural and Forestry Production Managers
1312,1312,Isco08,Su ürünleri ve balıkçılık üretim müdürleri,Aquaculture and Fisheries Production Managers
1321,1321,Isco08,İmalat müdürleri,Manufacturing Managers
1322,1322,Isco08,Madencilik müdürleri,Mining Managers
1323,1323,Isco08,İnşaat müdürleri,Construction Managers
1324,1324,Isco08,"Tedarik, dağıtım ve lojistik müdürleri","Supply, Distribution and Related Managers"
1330,1330,Isco08,Bilgi ve iletişim teknolojileri hizmet müdürleri,Information and Communications Technology Service Managers
1341,1341,Isco08,Çocuk bakım hizmetleri müdürleri,Child Care Service Managers
1342,1342,Isco08,Sağlık hizmetleri müdürleri,Health Service Managers
1343,1343,Isco08,Yaşlı bakım hizmetleri müdürleri,Aged Care Service Managers
1344,1344,Isco08,Sosyal hizmet müdürleri,Social Welfare Managers
1345,1345,Isco08,Eğitim müdürleri,Education Managers
1346,1346,Isco08,Finans ve sigorta hizmetleri şube müdürleri,Financial and Insurance Services Branch Managers
1349,1349,Isco08,Profesyonel hizmet müdürleri (bys),Professional Services Managers Not Elsewhere Classified
1411,1411,Isco08,Otel müdürleri,Hotel Managers
1412,1412,Isco08,Restoran müdürleri,Restaurant Managers
1420,1420,Isco08,Perakende ve toptan ticaret müdürleri,Retail and Wholesale Trade Managers
1431,1431,Isco08,"Spor, eğlence ve kültür merkezi müdürleri","Sports, Recreation and Cultural Centre Managers"
1439,1439,Isco08,Hizmet müdürleri (bys),Services Managers Not Elsewhere Classified
2111,2111,Isco08,Fizikçiler ve astronomlar,Physicists and Astronomers
2112,2112,Isco08,Meteoroloji uzmanları,Meteorologists
2113,2113,Isco08,Kimyagerler,Chemists
2114,2114,Isco08,Jeologlar ve jeofizikçiler,Geologists and Geophysicists
2120,2120,Isco08,"Matematikçiler, aktüerler ve istatistikçiler","Mathematicians, Actuaries and Statisticians"
2131,2131,Isco08,"Biyologlar, botanikçiler, zoologlar ve ilgili meslek mensupları","Biologists, Botanists, Zoologists and Related Professionals"
2132,2132,Isco08,"Tarım, ormancılık ve balıkçılık danışmanları","Farming, Forestry and Fisheries Advisers"
2133,2133,Isco08,Çevre koruma uzmanları,Environmental Protection Professionals
2141,2141,Isco08,Endüstri ve üretim mühendisleri,Industrial and Production Engineers
2142,2142,Isco08,İnşaat mühendisleri,Civil Engineers
2143,2143,Isco08,Çevre mühendisleri,Environmental Engineers
2144,2144,Isco08,Makine mühendisleri,Mechanical Engineers
2145,2145,Isco08,Kimya mühendisleri,Chemical Engineers
2146,2146,Isco08,"Maden mühendisleri, metalurji mühendisleri ve ilgili meslek mensupları","Mining Engineers, Metallurgists and Related Professionals"
2149,2149,Isco08,Mühendislik meslek mensupları (bys),Engineering Professionals Not Elsewhere Classified
2151,2151,Isco08,Elektrik mühendisleri,Electrical Engineers
2152,2152,Isco08,Elektronik mühendisleri,Electronics Engineers
2153,2153,Isco08,Telekomünikasyon mühendisleri,Telecommunications Engineers
2161,2161,Isco08,Mimarlar,Building Architects
2162,2162,Isco08,Peyzaj mimarları,Landscape Architects
2163,2163,Isco08,Ürün ve giyim tasarımcıları,Product and Garment Designers
2164,2164,Isco08,Şehir ve trafik plancıları,Town and Traffic Planners
2165,2165,Isco08,Haritacılar ve harita mühendisleri,Cartographers and Surveyors
2166,2166,Isco08,Grafik ve multimedya tasarımcıları,Graphic and Multimedia Designers
2211,2211,Isco08,Pratisyen hekimler,Generalist Medical Practitioners
2212,2212,Isco08,Uzman hekimler,Specialist Medical Practitioners
2221,2221,Isco08,Hemşireler,Nursing Professionals
2222,2222,Isco08,Ebeler,Midwifery Professionals
2230,2230,Isco08,Geleneksel ve tamamlayıcı tıp uzmanları,Traditional and Complementary Medicine Professionals
2240,2240,Isco08,Paramedikal uygulayıcılar,Paramedical Practitioners
2250,2250,Isco08,Veteriner hekimler,Veterinarians
2261,2261,Isco08,Diş hekimleri,Dentists
2262,2262,Isco08,Eczacılar,Pharmacists
2263,2263,Isco08,Çevre sağlığı ve iş sağlığı uzmanları,Environmental and Occupational Health and Hygiene Professionals
2264,2264,Isco08,Fizyoterapistler,Physiotherapists
2265,2265,Isco08,Diyetisyenler ve beslenme uzmanları,Dieticians and Nutritionists
2266,2266,Isco08,Odyologlar ve dil ve konuşma terapistleri,Audiologists and Speech Therapists
2267,2267,Isco08,Optometristler ve optisyenler,Optometrists and Ophthalmic Opticians
2269,2269,Isco08,Sağlık meslek mensupları (bys),Health Professionals Not Elsewhere Classified
2310,2310,Isco08,Üniversite ve yükseköğretim öğretim elemanları,University and Higher Education Teachers
2320,2320,Isco08,Mesleki eğitim öğretmenleri,Vocational Education Teachers
2330,2330,Isco08,Ortaöğretim öğretmenleri,Secondary Education Teachers
2341,2341,Isco08,İlkokul öğretmenleri,Primary School Teachers
2342,2342,Isco08,Okul öncesi öğretmenleri,Early Childhood Educators
2351,2351,Isco08,Eğitim yöntemleri uzmanları,Education Methods Specialists
2352,2352,Isco08,Özel eğitim öğretmenleri,Special Needs Teachers
2353,2353,Isco08,Diğer dil öğretmenleri,Other Language Teachers
2354,2354,Isco08,Diğer müzik öğretmenleri,Other Music Teachers
2355,2355,Isco08,Diğer sanat öğretmenleri,Other Arts Teachers
2356,2356,Isco08,Bilgi teknolojileri eğitmenleri,Information Technology Trainers
2359,2359,Isco08,Öğretim meslek mensupları (bys),Teaching Professionals Not Elsewhere Classified
2411,2411,Isco08,Muhasebeciler ve mali müşavirler,Accountants
2412,2412,Isco08,Finans ve yatırım danışmanları,Financial and Investment Advisers
2413,2413,Isco08,Finansal analistler,Financial Analysts
2421,2421,Isco08,Yönetim ve organizasyon analistleri,Management and Organization Analysts
2422,2422,Isco08,Politika yönetimi uzmanları,Policy Administration Professionals
2423,2423,Isco08,Personel ve kariyer uzmanları,Personnel and Careers Professionals
2424,2424,Isco08,Eğitim ve personel geliştirme uzmanları,Training and Staff Development Professionals
2431,2431,Isco08,Reklam ve pazarlama uzmanları,Advertising and Marketing Professionals
2432,2432,Isco08,Halkla ilişkiler uzmanları,Public Relations Professionals
2433,2433,Isco08,Teknik ve tıbbi satış uzmanları (BİT hariç),Technical and Medical Sales Professionals (excluding ICT)
2434,2434,Isco08,Bilgi ve iletişim teknolojileri satış uzmanları,Information and Communications Technology Sales Professionals
2511,2511,Isco08,Sistem analistleri,Systems Analysts
2512,2512,Isco08,Yazılım geliştiricileri,Software Developers
2513,2513,Isco08,Web ve multimedya geliştiricileri,Web and Multimedia Developers
2514,2514,Isco08,Uygulama programcıları,Applications Programmers
2519,2519,Isco08,Yazılım ve uygulama geliştiricileri ve analistleri (bys),Software and Applications Developers and Analysts Not Elsewhere Classified
2521,2521,Isco08,Veri tabanı tasarımcıları ve yöneticileri,Database Designers and Administrators
2522,2522,Isco08,Sistem yöneticileri,Systems Administrators
2523,2523,Isco08,Bilgisayar ağı uzmanları,Computer Network Professionals
2529,2529,Isco08,Veri tabanı ve ağ uzmanları (bys),Database and Network Professionals Not Elsewhere Classified
2611,2611,Isco08,Avukatlar,Lawyers
2612,2612,Isco08,Hâkimler,Judges
2619,2619,Isco08,Hukuk meslek mensupları (bys),Legal Professionals Not Elsewhere Classified
2621,2621,Isco08,Arşivciler ve müze küratörleri,Archivists and Curators
2622,2622,Isco08,Kütüphaneciler ve ilgili bilgi uzmanları,Librarians and Related Information Professionals
2631,2631,Isco08,Ekonomistler,Economists
2632,2632,Isco08,"Sosyologlar, antropologlar ve ilgili meslek mensupları","Sociologists, Anthropologists and Related Professionals"
2633,2633,Isco08,"Felsefeciler, tarihçiler ve siyaset bilimciler","Philosophers, Historians and Political Scientists"
2634,2634,Isco08,Psikologlar,Psychologists
2635,2635,Isco08,Sosyal hizmet ve danışmanlık uzmanları,Social Work and Counselling Professionals
2636,2636,Isco08,Din görevlileri ve din bilimciler,Religious Professionals
2641,2641,Isco08,Yazarlar ve ilgili meslek mensupları,Authors and Related Writers
2642,2642,Isco08,Gazeteciler,Journalists
2643,2643,Isco08,"Çevirmenler, tercümanlar ve diğer dil bilimciler","Translators, Interpreters and Other Linguists"
2651,2651,Isco08,Görsel sanatçılar,Visual Artists
2652,2652,Isco08,"Müzisyenler, şarkıcılar ve besteciler","Musicians, Singers and Composers"
2653,2653,Isco08,Dansçılar ve koreograflar,Dancers and Choreographers
2654,2654,Isco08,"Film, sahne ve ilgili yönetmenler ve yapımcılar","Film, Stage and Related Directors and Producers"
2655,2655,Isco08,Oyuncular,Actors
2656,2656,Isco08,"Radyo, televizyon ve diğer medya sunucuları","Announcers on Radio, Television and Other Media"
2659,2659,Isco08,Yaratıcı ve sahne sanatçıları (bys),Creative and Performing Artists Not Elsewhere Classified
3111,3111,Isco08,Kimya ve fizik bilimleri teknisyenleri,Chemical and Physical Science Technicians
3112,3112,Isco08,İnşaat mühendisliği teknisyenleri,Civil Engineering Technicians
3113,3113,Isco08,Elektrik mühendisliği teknisyenleri,Electrical Engineering Technicians
3114,3114,Isco08,Elektronik mühendisliği teknisyenleri,Electronics Engineering Technicians
3115,3115,Isco08,Makine mühendisliği teknisyenleri,Mechanical Engineering Technicians
3116,3116,Isco08,Kimya mühendisliği teknisyenleri,Chemical Engineering Technicians
3117,3117,Isco08,Maden ve metalurji teknisyenleri,Mining and Metallurgical Technicians
3118,3118,Isco08,Teknik ressamlar,Draughtspersons
3119,3119,Isco08,Fizik ve mühendislik bilimleri teknisyenleri (bys),Physical and Engineering Science Technicians Not Elsewhere Classified
3121,3121,Isco08,Madencilik ustabaşıları,Mining Supervisors
3122,3122,Isco08,İmalat ustabaşıları,Manufacturing Supervisors
3123,3123,Isco08,İnşaat ustabaşıları,Construction Supervisors
3131,3131,Isco08,Enerji üretim tesisi operatörleri,Power Production Plant Operators
3132,3132,Isco08,Yakma ve su arıtma tesisi operatörleri,Incinerator and Water Treatment Plant Operators
3133,3133,Isco08,Kimyasal işleme tesisi kontrolörleri,Chemical Processing Plant Controllers
3134,3134,Isco08,Petrol ve doğal gaz rafineri tesisi operatörleri,Petroleum and Natural Gas Refining Plant Operators
3135,3135,Isco08,Metal üretim süreci kontrolörleri,Metal Production Process Controllers
3139,3139,Isco08,Süreç kontrol teknisyenleri (bys),Process Control Technicians Not Elsewhere Classified
3141,3141,Isco08,Yaşam bilimleri teknisyenleri (tıbbi hariç),Life Science Technicians (excluding Medical)
3142,3142,Isco08,Tarım teknisyenleri,Agricultural Technicians
3143,3143,Isco08,Ormancılık teknisyenleri,Forestry Technicians
3151,3151,Isco08,Gemi makinistleri,Ships' Engineers
3152,3152,Isco08,Gemi güverte zabitleri ve kılavuz kaptanlar,Ships' Deck Officers and Pilots
3153,3153,Isco08,Pilotlar ve ilgili yardımcı meslek mensupları,Aircraft Pilots and Related Associate Professionals
3154,3154,Isco08,Hava trafik kontrolörleri,Air Traffic Controllers
3155,3155,Isco08,Hava trafik güvenliği elektronik teknisyenleri,Air Traffic Safety Electronics Technicians
3211,3211,Isco08,Tıbbi görüntüleme ve tedavi cihazı teknisyenleri,Medical Imaging and Therapeutic Equipment Technicians
3212,3212,Isco08,Tıbbi ve patoloji laboratuvar teknisyenleri,Medical and Pathology Laboratory Technicians
3213,3213,Isco08,Eczane teknisyenleri ve yardımcıları,Pharmaceutical Technicians and Assistants
3214,3214,Isco08,Tıbbi ve diş protez teknisyenleri,Medical and Dental Prosthetic Technicians
3221,3221,Isco08,Hemşire yardımcıları (yardımcı sağlık personeli),Nursing Associate Professionals
3222,3222,Isco08,Ebe yardımcıları,Midwifery Associate Professionals
3230,3230,Isco08,Geleneksel ve tamamlayıcı tıp yardımcı meslek mensupları,Traditional and Complementary Medicine Associate Professionals
3240,3240,Isco08,Veteriner teknisyenleri ve yardımcıları,Veterinary Technicians and Assistants
3251,3251,Isco08,Diş hekimi yardımcıları ve ağız-diş sağlığı teknikerleri,Dental Assistants and Therapists
3252,3252,Isco08,Tıbbi kayıt ve sağlık bilgi teknisyenleri,Medical Records and Health Information Technicians
3253,3253,Isco08,Toplum sağlığı çalışanları,Community Health Workers
3254,3254,Isco08,Gözlükçüler,Dispensing Opticians
3255,3255,Isco08,Fizyoterapi teknisyenleri ve yardımcıları,Physiotherapy Technicians and Assistants
3256,3256,Isco08,Tıbbi asistanlar,Medical Assistants
3257,3257,Isco08,Çevre sağlığı ve iş sağlığı müfettişleri ve yardımcıları,Environmental and Occupational Health Inspectors and Associates
3258,3258,Isco08,Ambulans çalışanları (acil tıp teknisyenleri),Ambulance Workers
3259,3259,Isco08,Sağlık yardımcı meslek mensupları (bys),Health Associate Professionals Not Elsewhere Classified
3311,3311,Isco08,Menkul kıymet ve finans aracıları ve brokerleri,Securities and Finance Dealers and Brokers
3312,3312,Isco08,Kredi görevlileri,Credit and Loans Officers
3313,3313,Isco08,Muhasebe yardımcı meslek mensupları,Accounting Associate Professionals
3314,3314,Isco08,"İstatistik, matematik ve ilgili yardımcı meslek mensupları","Statistical, Mathematical and Related Associate Professionals"
3315,3315,Isco08,Değerleme ve hasar tespit uzmanları (eksperler),Valuers and Loss Assessors
3321,3321,Isco08,Sigorta temsilcileri,Insurance Representatives
3322,3322,Isco08,Ticari satış temsilcileri,Commercial Sales Representatives
3323,3323,Isco08,Satın alma görevlileri,Buyers
3324,3324,Isco08,Ticaret aracıları (brokerler),Trade Brokers
3331,3331,Isco08,Gümrük ve nakliye acenteleri,Clearing and Forwarding Agents
3332,3332,Isco08,Konferans ve etkinlik planlayıcıları,Conference and Event Planners
3333,3333,Isco08,İstihdam acenteleri ve iş bulma aracıları,Employment Agents and Contractors
3334,3334,Isco08,Emlak danışmanları ve gayrimenkul yöneticileri,Real Estate Agents and Property Managers
3339,3339,Isco08,İşletme hizmetleri aracıları (bys),Business Services Agents Not Elsewhere Classified
3341,3341,Isco08,Ofis şefleri,Office Supervisors
3342,3342,Isco08,Hukuk sekreterleri,Legal Secretaries
3343,3343,Isco08,İdari ve yönetici sekreterleri,Administrative and Executive Secretaries
3344,3344,Isco08,Tıbbi sekreterler,Medical Secretaries
3351,3351,Isco08,Gümrük ve sınır müfettişleri,Customs and Border Inspectors
3352,3352,Isco08,Vergi ve gümrük memurları,Government Tax and Excise Officials
3353,3353,Isco08,Sosyal yardım memurları,Government Social Benefits Officials
3354,3354,Isco08,Ruhsat ve lisans memurları,Government Licensing Officials
3355,3355,Isco08,Polis müfettişleri ve dedektifler,Police Inspectors and Detectives
3359,3359,Isco08,Kamu düzenleme yardımcı meslek mensupları (bys),Government Regulatory Associate Professionals Not Elsewhere Classified
3411,3411,Isco08,Hukuk ve ilgili yardımcı meslek mensupları,Legal and Related Associate Professionals
3412,3412,Isco08,Sosyal hizmet yardımcı meslek mensupları,Social Work Associate Professionals
3413,3413,Isco08,Din yardımcı meslek mensupları,Religious Associate Professionals
3421,3421,Isco08,Sporcular,Athletes and Sports Players
3422,3422,Isco08,"Spor antrenörleri, eğitmenleri ve hakemleri","Sports Coaches, Instructors and Officials"
3423,3423,Isco08,Fitness ve rekreasyon eğitmenleri ve program liderleri,Fitness and Recreation Instructors and Programme Leaders
3431,3431,Isco08,Fotoğrafçılar,Photographers
